PlayerH VS PlayerG
  Battle 1: PlayerG (7S) defeated PlayerH (3H): PlayerH 25, PlayerG 27
  Battle 16: PlayerF (AS) defeated PlayerE (7D): PlayerF 29, PlayerE 23
  Battle 17: PlayerF (10S) defeated PlayerE (9H): PlayerF 30, PlayerE 22
  Battle 18: PlayerF (KD) defeated PlayerE (8C): PlayerF 31, PlayerE 21
  Battle 19: PlayerF (AC) defeated PlayerE (7H): PlayerF 32, PlayerE 20
  Battle 20: PlayerF (JC) defeated PlayerE (3D): PlayerF 33, PlayerE 19
  War 2: PlayerE (KH) defeated PlayerF (8S): PlayerF 28, PlayerE 24
  Battle 21: PlayerE (5D) defeated PlayerF (2D): PlayerF 27, PlayerE 25
  Battle 22: PlayerF (9D) defeated PlayerE (2C): PlayerF 28, PlayerE 24
  Battle 23: PlayerE (KC) defeated PlayerF (6C): PlayerF 27, PlayerE 25
  Battle 24: PlayerE (8D) defeated PlayerF (7C): PlayerF 26, PlayerE 26
  Battle 25: PlayerE (9S) defeated PlayerF (3S): PlayerF 25, PlayerE 27
  War 3: PlayerE (10C) defeated PlayerF (3C): PlayerF 20, PlayerE 32
  Battle 26: PlayerF (JS) defeated PlayerE (4D): PlayerF 21, PlayerE 31
  Battle 27: PlayerE (5H) defeated PlayerF (3H): PlayerF 20, PlayerE 32
  Battle 28: PlayerF (QC) defeated PlayerE (4C): PlayerF 21, PlayerE 31
  Battle 29: PlayerF (KS) defeated PlayerE (8H): PlayerF 22, PlayerE 30
  Battle 30: PlayerF (JH) defeated PlayerE (QD): PlayerF 23, PlayerE 29
  Battle 31: PlayerF (9C) defeated PlayerE (8S): PlayerF 24, PlayerE 28
  War 4: PlayerE (AD) defeated PlayerF (10S): PlayerF 19, PlayerE 33
  Battle 32: PlayerF (9H) defeated PlayerE (5C): PlayerF 20, PlayerE 32
  Battle 33: PlayerE (AH) defeated PlayerF (8C): PlayerF 19, PlayerE 33
  Battle 34: PlayerE (QS) defeated PlayerF (KD): PlayerF 18, PlayerE 34
  Battle 35: PlayerF (7H) defeated PlayerE (5D): PlayerF 19, PlayerE 33
  Battle 36: PlayerF (AC) defeated PlayerE (2D): PlayerF 20, PlayerE 32
  Battle 37: PlayerF (JC) defeated PlayerE (6C): PlayerF 21, PlayerE 31
  Battle 38: PlayerE (KC) defeated PlayerF (3D): PlayerF 20, PlayerE 32
  Battle 39: PlayerF (9D) defeated PlayerE (7C): PlayerF 21, PlayerE 31
  Battle 40: PlayerE (8D) defeated PlayerF (2C): PlayerF 20, PlayerE 32
  Battle 41: PlayerF (4D) defeated PlayerE (3S): PlayerF 21, PlayerE 31
  Battle 42: PlayerF (JS) defeated PlayerE (9S): PlayerF 22, PlayerE 30
  Battle 43: PlayerF (QC) defeated PlayerE (5S): PlayerF 23, PlayerE 29
  Battle 44: PlayerF (4C) defeated PlayerE (3C): PlayerF 24, PlayerE 28
  Battle 45: PlayerF (KS) defeated PlayerE (10C): PlayerF 25, PlayerE 27
  Battle 46: PlayerF (8H) defeated PlayerE (6H): PlayerF 26, PlayerE 26
  Battle 47: PlayerF (JH) defeated PlayerE (10H): PlayerF 27, PlayerE 25
  Battle 48: PlayerE (JD) defeated PlayerF (QD): PlayerF 26, PlayerE 26
  Battle 49: PlayerF (8S) defeated PlayerE (6S): PlayerF 27, PlayerE 25
  Battle 50: PlayerF (9C) defeated PlayerE (6D): PlayerF 28, PlayerE 24
  Battle 51: PlayerF (9H) defeated PlayerE (7S): PlayerF 29, PlayerE 23
  Battle 52: PlayerF (5C) defeated PlayerE (4S): PlayerF 30, PlayerE 22
  Battle 53: PlayerF (5D) defeated PlayerE (3H): PlayerF 31, PlayerE 21
  Battle 54: PlayerF (7H) defeated PlayerE (5H): PlayerF 32, PlayerE 20
  Battle 55: PlayerE (10S) defeated PlayerF (2D): PlayerF 31, PlayerE 21
  War 5: PlayerE (KH) defeated PlayerF (9D): PlayerF 26, PlayerE 26
  Battle 56: PlayerE (7D) defeated PlayerF (3S): PlayerF 25, PlayerE 27
  Battle 57: PlayerF (4D) defeated PlayerE (2S): PlayerF 26, PlayerE 26
  Battle 58: PlayerE (AD) defeated PlayerF (9S): PlayerF 25, PlayerE 27
  Battle 59: PlayerF (JS) defeated PlayerE (QH): PlayerF 26, PlayerE 26
  Battle 60: PlayerF (QC) defeated PlayerE (8C): PlayerF 27, PlayerE 25
  Battle 61: PlayerE (AH) defeated PlayerF (5S): PlayerF 26, PlayerE 26
  Battle 62: PlayerE (QS) defeated PlayerF (4C): PlayerF 25, PlayerE 27
  Battle 63: PlayerE (KD) defeated PlayerF (3C): PlayerF 24, PlayerE 28
  War 6: PlayerF (JH) defeated PlayerE (QD): PlayerF 29, PlayerE 23
  Battle 64: PlayerE (JD) defeated PlayerF (10H): PlayerF 28, PlayerE 24
  Battle 65: PlayerF (6S) defeated PlayerE (2D): PlayerF 29, PlayerE 23
  Battle 66: PlayerE (10S) defeated PlayerF (8S): PlayerF 28, PlayerE 24
  Battle 67: PlayerE (KH) defeated PlayerF (9C): PlayerF 27, PlayerE 25
  Battle 68: PlayerE (7C) defeated PlayerF (6D): PlayerF 26, PlayerE 26
  Battle 69: PlayerE (9D) defeated PlayerF (7S): PlayerF 25, PlayerE 27
  Battle 70: PlayerE (AC) defeated PlayerF (9H): PlayerF 24, PlayerE 28
  Battle 71: PlayerE (JC) defeated PlayerF (5C): PlayerF 23, PlayerE 29
  War 7: PlayerE (10D) defeated PlayerF (5H): PlayerF 18, PlayerE 34
  Battle 72: PlayerE (7D) defeated PlayerF (4D): PlayerF 17, PlayerE 35
  Battle 73: PlayerE (3S) defeated PlayerF (2S): PlayerF 16, PlayerE 36
  Battle 74: PlayerE (AD) defeated PlayerF (QH): PlayerF 15, PlayerE 37
  Battle 75: PlayerF (JS) defeated PlayerE (9S): PlayerF 16, PlayerE 36
  Battle 76: PlayerE (AH) defeated PlayerF (QC): PlayerF 15, PlayerE 37
  Battle 77: PlayerF (8C) defeated PlayerE (5S): PlayerF 16, PlayerE 36
  Battle 78: PlayerF (JH) defeated PlayerE (QS): PlayerF 17, PlayerE 35
  Battle 79: PlayerF (10C) defeated PlayerE (4C): PlayerF 18, PlayerE 34
  Battle 80: PlayerF (KC) defeated PlayerE (3C): PlayerF 19, PlayerE 33
  Battle 81: PlayerF (QD) defeated PlayerE (KD): PlayerF 20, PlayerE 32
  Battle 82: PlayerE (10H) defeated PlayerF (8H): PlayerF 19, PlayerE 33
  Battle 83: PlayerE (JD) defeated PlayerF (KS): PlayerF 18, PlayerE 34
  Battle 84: PlayerE (10S) defeated PlayerF (8D): PlayerF 17, PlayerE 35
  Battle 85: PlayerE (8S) defeated PlayerF (6H): PlayerF 16, PlayerE 36
  Battle 86: PlayerE (KH) defeated PlayerF (3D): PlayerF 15, PlayerE 37
  Battle 87: PlayerE (9C) defeated PlayerF (2C): PlayerF 14, PlayerE 38
  Battle 88: PlayerE (7C) defeated PlayerF (2D): PlayerF 13, PlayerE 39
  War 8: PlayerE (9H) defeated PlayerF (8C): PlayerF 8, PlayerE 44
  War 9: PlayerE (AS) defeated PlayerF (3C): PlayerF 3, PlayerE 49
  Battle 89: PlayerF (KC) defeated PlayerE (7H): PlayerF 4, PlayerE 48
  Battle 90: PlayerF (KD) defeated PlayerE (4S): PlayerF 5, PlayerE 47
  Battle 91: PlayerF (QD) defeated PlayerE (10D): PlayerF 6, PlayerE 46
  Battle 92: PlayerF (KC) defeated PlayerE (6C): PlayerF 7, PlayerE 45
  Battle 93: PlayerF (7H) defeated PlayerE (5H): PlayerF 8, PlayerE 44
  War 10: PlayerF (6C) defeated PlayerE (3S): PlayerF 13, PlayerE 39
  Battle 94: PlayerF (KC) defeated PlayerE (2S): PlayerF 14, PlayerE 38
  Battle 95: PlayerE (QH) defeated PlayerF (7H): PlayerF 13, PlayerE 39
  Battle 96: PlayerE (AD) defeated PlayerF (5H): PlayerF 12, PlayerE 40
  Battle 97: PlayerE (QC) defeated PlayerF (KD): PlayerF 11, PlayerE 41
  Battle 98: PlayerE (AH) defeated PlayerF (2H): PlayerF 10, PlayerE 42
  Battle 99: PlayerF (10D) defeated PlayerE (8H): PlayerF 11, PlayerE 41
  Battle 100: PlayerE (10H) defeated PlayerF (4S): PlayerF 10, PlayerE 42
  Battle 101: PlayerE (KS) defeated PlayerF (7D): PlayerF 9, PlayerE 43
  Battle 102: PlayerE (JD) defeated PlayerF (4H): PlayerF 8, PlayerE 44
  Battle 103: PlayerE (8D) defeated PlayerF (4D): PlayerF 7, PlayerE 45
  Battle 104: PlayerE (10S) defeated PlayerF (6C): PlayerF 6, PlayerE 46
  Battle 105: PlayerE (8S) defeated PlayerF (3S): PlayerF 5, PlayerE 47
  Battle 106: PlayerF (QD) defeated PlayerE (6H): PlayerF 6, PlayerE 46
  War 11: PlayerF (QD) defeated PlayerE (2D): PlayerF 11, PlayerE 41
  Battle 107: PlayerE (7C) defeated PlayerF (6H): PlayerF 10, PlayerE 42
  War 12: PlayerE (AC) defeated PlayerF (2S): PlayerF 5, PlayerE 47
  Battle 108: PlayerF (KH) defeated PlayerE (9D): PlayerF 6, PlayerE 46
  Battle 109: PlayerE (9H) defeated PlayerF (2C): PlayerF 5, PlayerE 47
  Battle 110: PlayerE (6D) defeated PlayerF (2D): PlayerF 4, PlayerE 48
  Battle 111: PlayerF (KC) defeated PlayerE (5S): PlayerF 5, PlayerE 47
  Battle 112: PlayerE (JS) defeated PlayerF (QD): PlayerF 4, PlayerE 48
  Battle 113: PlayerE (AS) defeated PlayerF (KH): PlayerF 3, PlayerE 49
  Battle 114: PlayerE (JH) defeated PlayerF (9D): PlayerF 2, PlayerE 50
  Battle 115: PlayerE (QS) defeated PlayerF (KC): PlayerF 1, PlayerE 51
  Battle 116: PlayerF (5S) defeated PlayerE (4C): PlayerF 2, PlayerE 50
  War 13: PlayerF (4C) defeated PlayerE (3C): PlayerF 7, PlayerE 45
  Battle 117: PlayerF (4C) defeated PlayerE (3H): PlayerF 8, PlayerE 44
  Battle 118: PlayerE (7H) defeated PlayerF (5D): PlayerF 7, PlayerE 45
  Battle 119: PlayerE (QH) defeated PlayerF (5C): PlayerF 6, PlayerE 46
  Battle 120: PlayerE (5H) defeated PlayerF (3C): PlayerF 5, PlayerE 47
  Battle 121: PlayerE (AD) defeated PlayerF (10C): PlayerF 4, PlayerE 48
  Battle 122: PlayerF (JC) defeated PlayerE (KD): PlayerF 5, PlayerE 47
  Battle 123: PlayerE (QC) defeated PlayerF (5S): PlayerF 4, PlayerE 48
  Battle 124: PlayerE (AH) defeated PlayerF (4C): PlayerF 3, PlayerE 49
  Battle 125: PlayerF (3H) defeated PlayerE (2H): PlayerF 4, PlayerE 48
  Battle 126: PlayerF (JC) defeated PlayerE (4S): PlayerF 5, PlayerE 47
  Battle 127: PlayerF (KD) defeated PlayerE (10H): PlayerF 6, PlayerE 46
  Battle 128: PlayerE (7D) defeated PlayerF (3H): PlayerF 5, PlayerE 47
  Battle 129: PlayerE (KS) defeated PlayerF (2H): PlayerF 4, PlayerE 48
  War 14: PlayerF (KD) defeated PlayerE (6C): PlayerF 9, PlayerE 43
  Battle 130: PlayerE (10S) defeated PlayerF (4D): PlayerF 8, PlayerE 44
  Battle 131: PlayerF (4S) defeated PlayerE (3S): PlayerF 9, PlayerE 43
  Battle 132: PlayerF (JD) defeated PlayerE (8S): PlayerF 10, PlayerE 42
  Battle 133: PlayerE (7C) defeated PlayerF (4H): PlayerF 9, PlayerE 43
  Battle 134: PlayerF (JC) defeated PlayerE (6H): PlayerF 10, PlayerE 42
  War 15: PlayerE (AC) defeated PlayerF (4S): PlayerF 5, PlayerE 47
  Battle 135: PlayerE (10D) defeated PlayerF (3S): PlayerF 4, PlayerE 48
  Battle 136: PlayerF (8S) defeated PlayerE (2S): PlayerF 5, PlayerE 47
  Battle 137: PlayerF (JD) defeated PlayerE (9C): PlayerF 6, PlayerE 46
  Battle 138: PlayerF (JC) defeated PlayerE (9S): PlayerF 7, PlayerE 45
  War 16: PlayerF (9C) defeated PlayerE (6D): PlayerF 12, PlayerE 40
  War 17: PlayerE (JH) defeated PlayerF (9H): PlayerF 7, PlayerE 45
  War 18: PlayerE (5D) defeated PlayerF (2S): PlayerF 2, PlayerE 50
  Battle 139: PlayerE (QH) defeated PlayerF (6H): PlayerF 1, PlayerE 51
  Battle 140: PlayerF (8S) defeated PlayerE (5C): PlayerF 2, PlayerE 50
  War 19: PlayerE (QC) defeated PlayerF (8S): PlayerF 0, PlayerE 52

PlayerE (1) DEFEATED PlayerF in 140 battles and 19 wars 

PlayerD VS PlayerC
  Battle 1: PlayerD (JD) defeated PlayerC (7D): PlayerD 27, PlayerC 25
  Battle 2: PlayerC (9H) defeated PlayerD (4D): PlayerD 26, PlayerC 26
  Battle 3: PlayerD (9D) defeated PlayerC (8S): PlayerD 27, PlayerC 25
  Battle 4: PlayerD (5C) defeated PlayerC (2C): PlayerD 28, PlayerC 24
  Battle 5: PlayerD (10H) defeated PlayerC (3D): PlayerD 29, PlayerC 23
  Battle 6: PlayerD (QH) defeated PlayerC (6C): PlayerD 30, PlayerC 22
  Battle 7: PlayerC (9C) defeated PlayerD (7S): PlayerD 29, PlayerC 23
  Battle 8: PlayerD (10S) defeated PlayerC (5S): PlayerD 30, PlayerC 22
  Battle 9: PlayerC (QD) defeated PlayerD (KS): PlayerD 29, PlayerC 23
  Battle 10: PlayerC (AC) defeated PlayerD (10D): PlayerD 28, PlayerC 24
  Battle 11: PlayerC (AH) defeated PlayerD (3C): PlayerD 27, PlayerC 25
  Battle 12: PlayerC (JC) defeated PlayerD (4S): PlayerD 26, PlayerC 26
  Battle 13: PlayerC (10C) defeated PlayerD (6H): PlayerD 25, PlayerC 27
  Battle 14: PlayerC (JS) defeated PlayerD (5D): PlayerD 24, PlayerC 28
  Battle 15: PlayerC (8D) defeated PlayerD (6D): PlayerD 23, PlayerC 29
  Battle 16: PlayerD (AS) defeated PlayerC (QC): PlayerD 24, PlayerC 28
  Battle 17: PlayerC (QS) defeated PlayerD (2S): PlayerD 23, PlayerC 29
  Battle 18: PlayerC (KC) defeated PlayerD (2D): PlayerD 22, PlayerC 30
  Battle 19: PlayerC (KD) defeated PlayerD (7H): PlayerD 21, PlayerC 31
  Battle 20: PlayerD (8C) defeated PlayerC (7C): PlayerD 22, PlayerC 30
  Battle 21: PlayerC (9S) defeated PlayerD (6S): PlayerD 21, PlayerC 31
  Battle 22: PlayerD (AD) defeated PlayerC (3S): PlayerD 22, PlayerC 30
  Battle 23: PlayerC (8H) defeated PlayerD (2H): PlayerD 21, PlayerC 31
  Battle 24: PlayerC (JH) defeated PlayerD (4H): PlayerD 20, PlayerC 32
  Battle 25: PlayerD (KH) defeated PlayerC (3H): PlayerD 21, PlayerC 31
  Battle 26: PlayerD (5H) defeated PlayerC (4C): PlayerD 22, PlayerC 30
